Entity,Code,Year,Renewables (% equivalent primary energy)
Malaysia,MYS,1965,4.9438925
Malaysia,MYS,1966,5.03879
Malaysia,MYS,1967,4.915263
Malaysia,MYS,1968,5.2724385
Malaysia,MYS,1969,6.0634923
Malaysia,MYS,1970,7.5801806
Malaysia,MYS,1971,5.899034
Malaysia,MYS,1972,5.8425875
Malaysia,MYS,1973,5.322255
Malaysia,MYS,1974,4.7647696
Malaysia,MYS,1975,4.614781
Malaysia,MYS,1976,3.896616
Malaysia,MYS,1977,2.7001028
Malaysia,MYS,1978,2.381011
Malaysia,MYS,1979,2.5286715
Malaysia,MYS,1980,3.08831
Malaysia,MYS,1981,3.3111405
Malaysia,MYS,1982,2.9753373
Malaysia,MYS,1983,3.016641
Malaysia,MYS,1984,5.532296
Malaysia,MYS,1985,6.097408
Malaysia,MYS,1986,6.075053
Malaysia,MYS,1987,7.1046844
Malaysia,MYS,1988,7.796464
Malaysia,MYS,1989,6.433416
Malaysia,MYS,1990,4.644536
Malaysia,MYS,1991,4.0963526
Malaysia,MYS,1992,3.4966087
Malaysia,MYS,1993,3.9368782
Malaysia,MYS,1994,4.955903
Malaysia,MYS,1995,4.3428664
Malaysia,MYS,1996,3.2411954
Malaysia,MYS,1997,2.2477603
Malaysia,MYS,1998,2.4977875
Malaysia,MYS,1999,3.9647648
Malaysia,MYS,2000,3.471553
Malaysia,MYS,2001,2.964407
Malaysia,MYS,2002,2.4419253
Malaysia,MYS,2003,2.1235485
Malaysia,MYS,2004,2.1898427
Malaysia,MYS,2005,2.1547606
Malaysia,MYS,2006,2.242483
Malaysia,MYS,2007,2.0632105
Malaysia,MYS,2008,2.5269666
Malaysia,MYS,2009,2.4878314
Malaysia,MYS,2010,2.2016032
Malaysia,MYS,2011,2.7034724
Malaysia,MYS,2012,2.8766632
Malaysia,MYS,2013,3.3276143
Malaysia,MYS,2014,3.6789017
Malaysia,MYS,2015,3.8489833
Malaysia,MYS,2016,4.960742
Malaysia,MYS,2017,6.3118143
Malaysia,MYS,2018,6.331725
Malaysia,MYS,2019,6.430763
Malaysia,MYS,2020,7.1748385
Malaysia,MYS,2021,7.645544
Malaysia,MYS,2022,7.832597
Malaysia,MYS,2023,8.116639
Malaysia,MYS,2024,8.281804